Region,Date,Average Price,Lines
Rest of the UK,2009-09-01,10.222327,
Rest of the UK,2009-10-01,10.184562,
Rest of the UK,2009-11-01,10.33686,
Rest of the UK,2009-12-01,10.334343,
Rest of the UK,2010-01-01,10.307157,
Rest of the UK,2010-02-01,10.407496,
Rest of the UK,2010-03-01,10.451219,
Rest of the UK,2010-04-01,10.484046,
Rest of the UK,2010-05-01,10.518533,
Rest of the UK,2010-06-01,10.56822,
Rest of the UK,2010-07-01,10.51283,
Rest of the UK,2010-08-01,10.653127,
Rest of the UK,2010-09-01,10.616942,
Rest of the UK,2010-10-01,10.697825,
Rest of the UK,2010-11-01,10.689809,
Rest of the UK,2010-12-01,10.7312355,
Rest of the UK,2011-01-01,10.811568,
Rest of the UK,2011-02-01,10.762777,
Rest of the UK,2011-03-01,10.878796,
Rest of the UK,2011-04-01,10.916945,
Rest of the UK,2011-05-01,11.01064,
Rest of the UK,2011-06-01,10.977978,
Rest of the UK,2011-07-01,10.949316,
Rest of the UK,2011-08-01,11.130183,
Rest of the UK,2011-09-01,11.157643,
Rest of the UK,2011-10-01,11.120506,
Rest of the UK,2011-11-01,11.160819,
Rest of the UK,2011-12-01,11.121293,
Rest of the UK,2012-01-01,11.228177,
Rest of the UK,2012-02-01,11.427855,
Rest of the UK,2012-03-01,11.444736,
Rest of the UK,2012-04-01,11.458779,
Rest of the UK,2012-05-01,11.473073,
Rest of the UK,2012-06-01,11.419726,
Rest of the UK,2012-07-01,11.446597,
Rest of the UK,2012-08-01,11.502456,
Rest of the UK,2012-09-01,11.490567,
Rest of the UK,2012-10-01,11.4796715,
Rest of the UK,2012-11-01,11.480277,
Rest of the UK,2012-12-01,11.5108,
Rest of the UK,2013-01-01,11.43699,
Rest of the UK,2013-02-01,11.4747505,
Rest of the UK,2013-03-01,11.591883,
Rest of the UK,2013-04-01,11.669481,
Rest of the UK,2013-05-01,11.648489,
Rest of the UK,2013-06-01,11.704897,
Rest of the UK,2013-07-01,11.686287,
Rest of the UK,2013-08-01,11.732302,
Rest of the UK,2013-09-01,11.745924,
Rest of the UK,2013-10-01,11.760836,
Rest of the UK,2013-11-01,11.723572,
Rest of the UK,2013-12-01,11.668679,
Rest of the UK,2014-01-01,11.683443,
Rest of the UK,2014-02-01,11.904589,
Rest of the UK,2014-03-01,11.919507,
Rest of the UK,2014-04-01,12.022457,
Rest of the UK,2014-05-01,12.035815,
Rest of the UK,2014-06-01,12.003827,
Rest of the UK,2014-07-01,12.004455,
Rest of the UK,2014-08-01,12.053854,
Rest of the UK,2014-09-01,12.065183,
Rest of the UK,2014-10-01,12.158527,
Rest of the UK,2014-11-01,12.175865,
Rest of the UK,2014-12-01,12.269031,
Rest of the UK,2015-01-01,12.193629,
Rest of the UK,2015-02-01,12.2493925,
Rest of the UK,2015-03-01,12.323663,
Rest of the UK,2015-04-01,12.334841,
Rest of the UK,2015-05-01,12.322086,
Rest of the UK,2015-06-01,12.357925,
Rest of the UK,2015-07-01,12.373707,
Rest of the UK,2015-08-01,12.37727,
Rest of the UK,2015-09-01,12.429849,
Rest of the UK,2015-10-01,12.476099,
